date,hospitalizations,hospitalizations_lag_3,average_stay_lag_3,deaths_lag_3,mortality_rate_lag_3,hospitalizations_lag_3_12m_window,average_stay_lag_3_12m_window,deaths_lag_3_12m_window,mortality_rate_lag_3_12m_window
2000-06,4370,3953,5.8,209,5.29,4330.833333333333,5.875,251.66666666666666,5.788333333333334
2000-07,4256,4420,5.9,215,4.86,4363.25,5.875,251.58333333333334,5.746666666666667
2000-08,4290,4353,5.9,236,5.42,4348.5,5.875,248.16666666666666,5.689166666666666
2000-09,4365,4370,5.9,255,5.84,4315.333333333333,5.875,243.16666666666666,5.625
2000-10,4388,4256,6.0,273,6.41,4317.75,5.883333333333333,242.08333333333334,5.595
2000-11,4329,4290,5.8,315,7.34,4293.416666666667,5.858333333333333,242.66666666666666,5.646666666666667
2000-12,4266,4365,6.4,293,6.71,4277.5,5.8999999999999995,245.33333333333334,5.728333333333333
2001-01,4032,4388,6.3,275,6.27,4257.25,5.925,246.25,5.775833333333334
2001-02,3888,4329,6.1,258,5.96,4256.583333333333,5.933333333333333,248.08333333333334,5.819166666666667
2001-03,3658,4266,6.1,242,5.67,4265.166666666667,5.966666666666668,250.83333333333334,5.873333333333334
2001-04,4022,4032,5.9,218,5.41,4263.833333333333,5.974999999999999,250.66666666666666,5.871666666666666
2001-05,4332,3888,5.8,217,5.58,4242.5,5.991666666666667,250.5,5.896666666666666
2001-06,4201,3658,5.8,176,4.81,4217.916666666667,5.991666666666667,247.75,5.8566666666666665
2001-07,4356,4022,5.8,256,6.36,4184.75,5.983333333333333,251.16666666666666,5.9816666666666665
2001-08,4632,4332,6.2,270,6.23,4183.0,6.008333333333334,254.0,6.049166666666667
2001-09,3935,4201,5.8,270,6.43,4168.916666666667,6.0,255.25,6.098333333333333
2001-10,3999,4356,5.8,295,6.77,4177.25,5.983333333333333,257.0833333333333,6.128333333333334
2001-11,4113,4632,6.1,319,6.89,4205.75,6.008333333333333,257.4166666666667,6.090833333333333
