date,heat_index,heat_index_sum,heat_index_std,heat_index99,heat_index95,temperature_mean,temperature_max,temperature_min,wind_speed_mean,humidity_mean,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3
2000-12,24.154260752688174,17970.77,4.999718995254918,37.89660000000002,33.538,23.575,35.4,13.4,1.8266129032258065,70.83602150537635,21.132402777777777,19.318991935483872,15.300694444444444
2001-01,26.316155913978495,19579.22,4.452697823607993,37.8471,34.6685,25.1369623655914,35.4,17.0,1.777016129032258,75.375,24.154260752688174,21.132402777777777,19.318991935483872
2001-02,27.119464285714283,18224.28,4.274062661576951,37.754799999999996,35.39399999999999,25.69107142857143,34.2,20.2,1.9165178571428574,76.42410714285714,26.316155913978495,24.154260752688174,21.132402777777777
2001-03,26.113387096774193,19428.36,4.220195862172236,36.76700000000001,34.4155,24.98534946236559,34.4,16.3,1.6297043010752688,76.38306451612904,27.119464285714283,26.316155913978495,24.154260752688174
2001-04,21.383902777777777,15396.41,3.4270335187733694,31.002999999999982,28.021499999999993,21.038333333333334,30.8,11.9,1.455138888888889,81.15277777777777,26.113387096774193,27.119464285714283,26.316155913978495
2001-05,16.999529569892474,12647.65,3.4992148966302032,24.539600000000014,23.28,17.07298387096774,27.3,10.8,1.6990591397849462,82.58333333333333,21.383902777777777,26.113387096774193,27.119464285714283
2001-06,16.162041666666667,11636.67,5.767223933894522,27.5181,24.332499999999996,16.35152777777778,28.9,3.1,1.6622222222222223,80.36111111111111,16.999529569892474,21.383902777777777,26.113387096774193
2001-07,14.580241935483873,10847.7,5.133076304765068,25.765700000000002,23.07,14.949327956989247,30.2,2.7,1.6009408602150537,79.40322580645162,16.162041666666667,16.999529569892474,21.383902777777777
2001-08,18.598024193548387,13836.93,4.592116393174099,29.394200000000005,27.79,18.75524193548387,30.7,9.2,1.3926075268817204,74.24731182795699,14.580241935483873,16.162041666666667,16.999529569892474
2001-09,17.503722222222223,12602.68,4.246769208788994,27.758599999999998,25.060999999999996,17.704722222222223,28.4,7.3,2.314583333333333,75.1,18.598024193548387,14.580241935483873,16.162041666666667
