date,hospitalizations,hospitalizations_lag_3,average_stay_lag_3,deaths_lag_3,mortality_rate_lag_3,hospitalizations_lag_3_12m_window,average_stay_lag_3_12m_window,deaths_lag_3_12m_window,mortality_rate_lag_3_12m_window,heat_index,heat_index_sum,heat_index_std,heat_index99,heat_index95,temperature_mean,temperature_max,temperature_min,wind_speed_mean,humidity_mean,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3
2000-12-01,4266.0,4365.0,6.4,293.0,6.71,4277.5,5.9,245.33333333333331,5.728333333333333,24.15426075268817,17970.77,4.999718995254918,37.89660000000002,33.538,23.575,35.4,13.4,1.8266129032258065,70.83602150537635,21.132402777777777,19.318991935483872,15.300694444444444
2001-01-01,4032.0,4388.0,6.3,275.0,6.27,4257.25,5.925,246.25,5.775833333333334,26.31615591397849,19579.22,4.452697823607993,37.8471,34.6685,25.1369623655914,35.4,17.0,1.777016129032258,75.375,24.15426075268817,21.132402777777777,19.318991935483872
2001-02-01,3888.0,4329.0,6.1,258.0,5.96,4256.583333333333,5.933333333333333,248.08333333333331,5.819166666666667,27.119464285714283,18224.28,4.274062661576951,37.7548,35.39399999999999,25.69107142857143,34.2,20.2,1.9165178571428572,76.42410714285714,26.31615591397849,24.15426075268817,21.132402777777777
2001-03-01,3658.0,4266.0,6.1,242.0,5.67,4265.166666666667,5.966666666666668,250.83333333333331,5.873333333333334,26.113387096774197,19428.36,4.220195862172236,36.76700000000001,34.4155,24.98534946236559,34.4,16.3,1.6297043010752688,76.38306451612904,27.119464285714283,26.31615591397849,24.15426075268817
2001-04-01,4022.0,4032.0,5.9,218.0,5.41,4263.833333333333,5.974999999999999,250.66666666666663,5.871666666666666,21.383902777777777,15396.41,3.4270335187733694,31.002999999999982,28.021499999999996,21.03833333333333,30.8,11.9,1.455138888888889,81.15277777777777,26.113387096774197,27.119464285714283,26.31615591397849
2001-05-01,4332.0,3888.0,5.8,217.0,5.58,4242.5,5.991666666666667,250.5,5.896666666666666,16.999529569892474,12647.65,3.4992148966302032,24.53960000000001,23.28,17.07298387096774,27.3,10.8,1.6990591397849462,82.58333333333333,21.383902777777777,26.113387096774197,27.119464285714283
2001-06-01,4201.0,3658.0,5.8,176.0,4.81,4217.916666666667,5.991666666666667,247.75,5.8566666666666665,16.162041666666667,11636.67,5.767223933894522,27.5181,24.3325,16.35152777777778,28.9,3.1,1.6622222222222225,80.36111111111111,16.999529569892474,21.383902777777777,26.113387096774197
2001-07-01,4356.0,4022.0,5.8,256.0,6.36,4184.75,5.983333333333333,251.16666666666663,5.9816666666666665,14.580241935483873,10847.7,5.133076304765068,25.7657,23.07,14.949327956989247,30.2,2.7,1.6009408602150537,79.40322580645162,16.162041666666667,16.999529569892474,21.383902777777777
2001-08-01,4632.0,4332.0,6.2,270.0,6.23,4183.0,6.008333333333334,254.0,6.049166666666667,18.598024193548387,13836.93,4.592116393174099,29.394200000000005,27.79,18.75524193548387,30.7,9.2,1.3926075268817204,74.24731182795699,14.580241935483873,16.162041666666667,16.999529569892474
2001-09-01,3935.0,4201.0,5.8,270.0,6.43,4168.916666666667,6.0,255.25,6.098333333333333,17.503722222222223,12602.68,4.246769208788994,27.7586,25.061,17.704722222222223,28.4,7.3,2.314583333333333,75.1,18.598024193548387,14.580241935483873,16.162041666666667
